 C++ Programming For Beginners: A Simple Start To C++ Programming Written By A So ( C++, C++ Programming For Beginners, C Programming, C++ Programming Language) (Volume 1);1503162281;9781503162280; Scott Sanderson;CreateSpace Independent Publishing Platform;programming, beginners, language, volume, start, simple, written;134;2014-11-15;Paperback;14.99 USD
 Sudoku Programming with C;1484209966;9781484209967; Giulio Zambon;Apress;programming, sudoku;300;2015-03-12;Paperback;24.99 USD
 C Programming FAQs: Frequently Asked Questions;0201845199;9780201845198; Steve Summit;Addison-Wesley Professional;questions, asked, frequently, faqs, programming;432;1995-11-17;Paperback;34.99 USD
 Programming and Metaprogramming in the Human Biocomputer: Theory and Experiments;0692217894;9780692217894; Dr. John C. Lilly;Float On;theory, experiments, biocomputer, human, metaprogramming, programming;252;2014-05-08;Paperback;19.95 USD
 Understanding and Using C Pointers;1449344186;9781449344184; Richard M. Reese;O\'Reilly Media;pointers, using, understanding;226;2013-05-18;Paperback;39.99 USD
 Problem Solving and Program Design in C (7th Edition);0132936496;9780132936491;Jeri R. Hanly, Elliot B. Koffman;Prentice Hall;design, program, solving, problem;840;2012-03-04;Paperback;147.00 USD
 C# in Depth, 3rd Edition;161729134X;9781617291340; Jon Skeet;Manning Publications;depth;616;2013-09-30;Paperback;49.99 USD
 Make: AVR Programming: Learning to Write Software for Hardware;1449355781;9781449355784; Elliot Williams;Maker Media, Inc;software, hardware, write, learning, programming, avr;474;2014-02-17;Paperback;44.99 USD
 A First Book of ANSI C, Fourth Edition (Introduction to Programming);1418835560;9781418835569; Gary J. Bronson;Cengage Learning;introduction, programming, fourth, ansi, book, first;784;2006-02-02;Paperback;222.95 USD
 C Programming for Arduino;1849517584;9781849517584; Julien Bayle;Packt Publishing;arduino, programming;512;2013-05-17;Paperback;49.99 USD
 C Programming Guide;0880223561;9780880223560; Jack J. Purdum;Que Pub;guide, programming;475;1988-12;Paperback;24.95 USD
 Beginning Programming with C For Dummies;1118737636;9781118737637; Dan Gookin;For Dummies;dummies, programming, beginning;456;2013-10-28;Paperback;29.99 USD
 Programming in C with Numerical Methods for Engineers;0137264984;9780137264988; Kamal B. Rojiani;Prentice Hall;engineers, methods, numerical, programming;1130;1995-12-14;Paperback;103.00 USD
 Absolute Beginner's Guide to C (2nd Edition);0672305100;9780672305108; Greg Perry;Sams Publishing;guide, beginner, absolute;432;1994-04-18;Paperback;39.99 USD
 SPARC Architecture, Assembly Language Programming, and C (2nd Edition);0130255963;9780130255969; Richard Paul;Prentice Hall;programming, language, assembly, architecture, sparc;528;1999-08-08;Paperback;167.00 USD
 Objective-C Programming For Dummies;111821398X;9781118213988; Neal Goldstein;For Dummies;dummies, programming, objective;480;2012-10-23;Paperback;29.99 USD
 Mastering Algorithms with C;1565924533;9781565924536; Kyle Loudon;O\'Reilly Media;algorithms, mastering;562;1999-08-15;Paperback;44.99 USD
 iOS Programming: The Big Nerd Ranch Guide (4th Edition) (Big Nerd Ranch Guides);0321942051;9780321942050;Joe Conway, Aaron Hillegass, Christian Keur;Big Nerd Ranch Guides;ranch, nerd, guides, guide, programming, ios;560;2014-02-21;Paperback;49.99 USD
 Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14;1491903996;9781491903995; Scott Meyers;O\'Reilly Media;improve, ways, specific, modern, effective;336;2014-12-05;Paperback;49.99 USD
 Oracle Database 12c PL / SQL Programming;0071812431;9780071812436; Michael McLaughlin;Mcgraw-Hill Osborne Media;programming, sql, 12c, database, oracle;1154;2014-01-24;Paperback;70.00 USD
