 Schaum's Outline of Programming with C;70240353;9,78007E+12; Byron Gottfried;McGraw-Hill;programming, outline, schaum;532;22/06/1996;Paperback;20.00 USD
 Oracle Database 12c PL/SQL Advanced Programming Techniques;71835148;9,78007E+12;Michael McLaughlin, John Harper;McGraw-Hill Osborne Media;programming, techniques, advanced, sql, database, 12c, oracle;448;10/11/2014;Paperback;75.00 USD
 Computer Science: A Structured Programming Approach Using C (3rd Edition);534491324;9,78053E+12;Behrouz A. Forouzan, Richard F. Gilberg;Cengage Learning;approach, using, programming, structured, science, computer;1184;06/02/2006;Paperback;210.95 USD
 System Programming with C and Unix;136067123;9,78014E+12; Adam Hoover;Addison-Wesley;unix, programming, system;400;23/02/2009;Paperback;142.60 USD
 The CERT® C Coding Standard, Second Edition: 98 Rules for Developing Safe, Reliable, and Secure Systems (2nd Edition) (SEI Series in Software Engineering);321984048;9,78032E+12; Robert C. Seacord;Addison-Wesley Professional;systems, secure, sei, series, engineering, software, reliable, safe, standard, coding, second, rules, developing, cert??;576;24/04/2014;Paperback;59.99 USD
 The Standard C Library;131315099;9,78013E+12; P.J. Plauger;Prentice Hall;library, standard;512;11/07/1992;Paperback;84.67 USD
 Beginning Visual C# 2012 Programming;1118314417;9,78112E+12;Karli Watson, Jacob Vibe Hammer, Jon D. Reid, Morgan Skinner, Daniel Kemper, Christian Nagel;Wrox;programming, visual, beginning;912;17/12/2012;Paperback;44.99 USD
 Programming Abstractions in C++;133454843;9,78013E+12; Eric Roberts;Prentice Hall;abstractions, programming;960;07/08/2013;Paperback;162.20 USD
 Data Structures and Algorithms Made Easy: Data Structure and Algorithmic Puzzles, Second Edition;1468108867;9,78147E+12; Narasimha Karumanchi;CreateSpace Independent Publishing Platform;data, algorithmic, puzzles, second, structure, easy, structures, algorithms, made;434;19/12/2011;Paperback;39.99 USD
 Programming for the Absolute Beginner;1598633740;9,7816E+12; Jerry Lee Ford Jr.;Cengage Learning PTR;beginner, absolute, programming;384;23/04/2007;Paperback;29.99 USD
 Advanced C Programming by Example;534951406;9,78053E+12; John W. Perry;Pws Pub Co;example, programming, advanced;320;14/01/1998;Paperback;60.95 USD
 LEGO® Mindstorms NXT Power Programming: Robotics in C;973864974;9,78097E+12; John C. Hansen;Variant Press;programming, robotics, power, nxt, mindstorms, lego??;560;01/09/2009;Paperback;29.95 USD
 Concepts in Programming Languages;521780985;9,78052E+12; John C. Mitchell;Cambridge University Press;languages, programming, concepts;540;14/10/2002;Hardcover;94.99 USD
 C++ Primer Plus (6th Edition) (Developer's Library);321776402;9,78032E+12; Stephen Prata;Addison-Wesley Professional;library, developer, plus, primer;1200;28/10/2011;Paperback;59.99 USD
 Programming in Objective-C (5th Edition) (Developer's Library);032188728X;9,78032E+12; Stephen G. Kochan;Addison-Wesley Professional;library, developer, objective, programming;552;14/12/2012;Paperback;49.99 USD
 Beginning C++ Through Game Programming;1435457420;9,78144E+12; Michael Dawson;Cengage Learning PTR;programming, game, beginning;432;18/10/2010;Paperback;34.99 USD
 C Programming for Embedded Systems;1929629044;9,78193E+12; Kirk Zurell;CRC Press;systems, embedded, programming;172;01/03/2000;Paperback;32.95 USD
 C by Dissection: The Essentials of C Programming (4th Edition);201713748;9,7802E+12;Al Kelley, Ira Pohl;Addison-Wesley;programming, essentials, dissection;641;09/11/2000;Paperback;154.40 USD
 Programming C# 5.0: Building Windows 8, Web, and Desktop Applications for the .NET 4.5 Framework;1449320414;9,78145E+12; Ian Griffiths;O\'Reilly Media;applications, net, framework, desktop, web, building, windows, programming;886;08/11/2012;Paperback;54.99 USD
 PC Magazine Guide to C Programming;1562760696;9,78156E+12; Jack J. Purdum;Ziff Davis Pr;programming, guide, magazine;498;1992-07;Paperback;29.95 USD
 C: The Complete Reference, 4th Ed.;72121246;9,78007E+12; Herbert Schildt;McGraw-Hill Osborne Media;reference, complete;805;26/04/2000;Paperback;44.00 USD
 C: How to Program (6th Edition);136123562;9,78014E+12;Paul Deitel, Harvey M. Deitel;Prentice Hall;program;1008;08/11/2009;Paperback;144.20 USD
 Secure Programming Cookbook for C and C++: Recipes for Cryptography, Authentication, Input Validation & More;596003943;9,7806E+12;John Viega, Matt Messier;O\'Reilly Media;authentication, input, validation, cryptography, recipes, programming, cookbook, secure;792;24/07/2003;Paperback;74.99 USD
 Test Driven Development for Embedded C (Pragmatic Programmers);193435662X;9,78193E+12; James W. Grenning;Pragmatic Bookshelf;pragmatic, programmers, embedded, development, driven, test;352;05/05/2011;Paperback;34.95 USD
 Beginning Programming in 24 Hours, Sams Teach Yourself (3rd Edition);672337002;9,78067E+12;Greg Perry, Dean Miller;Sams Publishing;teach, yourself, sams, hours, programming, beginning;464;19/12/2013;Paperback;29.99 USD
 C: How to Program, 7th Edition;013299044X;9,78013E+12;Paul Deitel, Harvey Deitel;Prentice Hall;program;912;04/03/2012;Paperback;164.60 USD
 The Linux Programming Interface: A Linux and UNIX System Programming Handbook;1593272200;9,78159E+12; Michael Kerrisk;No Starch Press;linux, programming, handbook, system, interface, unix;1552;28/10/2010;Hardcover;99.95 USD
 Programming in Objective-C 2.0 (2nd Edition);321566157;9,78032E+12; Stephen G. Kochan;Addison-Wesley Professional;objective, programming;624;08/01/2009;Paperback;44.99 USD
 Programming Arduino Next Steps: Going Further with Sketches (Tab);71830251;9,78007E+12; Simon Monk;McGraw-Hill/TAB Electronics;sketches, tab, further, going, arduino, steps, programming;288;25/09/2013;Paperback;20.00 USD
 C Programming for Microcontrollers Featuring ATMEL's AVR Butterfly and the free WinAVR Compiler;976682206;9,78098E+12; Joe Pardue;Smiley Micros;free, winavr, compiler, butterfly, avr, microcontrollers, featuring, atmel, programming;300;01/03/2005;Paperback;49.95 USD
 iOS 7 Programming Fundamentals: Objective-C, Xcode, and Cocoa Basics;1491945575;9,78149E+12; Matt Neuburg;O\'Reilly Media;cocoa, basics, xcode, objective, programming, fundamentals, ios;422;01/11/2013;Paperback;44.99 USD
 Objective-C and iOS Programming: A Simplified Approach To Developing Apps for the Apple iPhone & iPad;1285187059;9,78129E+12; Arshia Khan;Cengage Learning;apps, iphone, ipad, developing, approach, ios, programming, simplified, objective;528;28/01/2014;Paperback;84.95 USD
 Programming in the Key of C#: A Primer for Aspiring Programmers (Developer Reference);735618003;9,78074E+12; Charles Petzold;Microsoft Press;developer, reference, programmers, aspiring, key, primer, programming;432;31/07/2003;Paperback;29.99 USD
 Programming in ANSI C Deluxe Revised;672303396;9,78067E+12; Stephen Kochan;Sams;revised, deluxe, ansi, programming;534;1994-01;Paperback;29.95 USD
 Embedded C Programming: Techniques and Applications of C and PIC MCUS;128013141;9,78013E+12; Mark Siegesmund;Newnes;pic, mcus, applications, techniques, programming, embedded;424;03/10/2014;Paperback;59.95 USD
 Programming And Problem Solving With C++: Comprehensive;1284028763;9,78128E+12;Nell Dale, Chip Weems;Jones & Bartlett Learning;comprehensive, solving, problem, programming;1068;06/03/2013;Paperback;154.95 USD
 C Programming Success in a Day & C Programming Professional Made Easy (Volume 1);1511442360;9,78151E+12; Sam Key;CreateSpace Independent Publishing Platform;programming, easy, volume, made, professional, success, day;52;24/03/2015;Paperback;12.26 USD
 Functional Programming in C#: Classic Programming Techniques for Modern Projects;470744588;9,78047E+12; Oliver Sturm;Wrox;programming, projects, modern, classic, functional, techniques;288;19/04/2011;Paperback;34.99 USD
 Programming with Visual C++: Concepts and Projects (Introduction to Programming);142390186X;9,78142E+12; James Allert;Cengage Learning;programming, introduction, projects, concepts, visual;776;20/02/2008;Paperback;203.95 USD
 Programming in Objective-C, Third Edition (Developer's Library);321711394;9,78032E+12; Stephen G. Kochan;Addison-Wesley Professional;library, developer, third, objective, programming;552;20/06/2011;Paperback;49.99 USD
 Schaum's Outline of Programming with C++;71353461;9,78007E+12; John Hubbard;McGraw-Hill;programming, outline, schaum;422;06/06/2000;Paperback;22.00 USD
 Exam Ref 70-483 Programming in C# (MCSD);735676828;9,78074E+12; Wouter de Kort;Microsoft Press;mcsd, programming, ref, exam;384;25/07/2013;Paperback;39.99 USD
 Embedded C Programming and the Atmel AVR;1418039594;9,78142E+12;Richard H. Barnett, Sarah Cox, Larry O\'Cull;Cengage Learning;avr, atmel, programming, embedded;560;05/06/2006;Paperback;237.95 USD
 Microsoft Quick C Programming: The Microsoft Guide to Using the Quick C Compiler (Quick reference);1556150482;9,78156E+12;Mitchell Waite, et al, The Waite Group;Microsoft Press,U.S.;quick, microsoft, reference, compiler, guide, programming, using;400;24/11/1988;Paperback;Unknown
 Head First C#, 2E: A Learner's Guide to Real-World Programming with Visual C# and .NET (Head First Guides);1449380344;9,78145E+12;Andrew Stellman, Jennifer Greene;O\'Reilly Media;head, first, visual, guides, programming, net, real, learner, guide, world;840;31/05/2010;Paperback;49.99 USD
 C++ Primer (5th Edition);321714113;9,78032E+12;Stanley B. Lippman, Josée Lajoie, Barbara E. Moo;Addison-Wesley Professional;primer;976;16/08/2012;Paperback;64.99 USD
 Programming 32-bit Microcontrollers in C: Exploring the PIC32 (Embedded Technology);750687096;9,78075E+12; Lucio Di Jasio;Newnes;embedded, technology, pic32, exploring, bit, microcontrollers, programming;552;17/04/2008;Paperback;72.95 USD
 Programming in Objective-C (4th Edition) (Developer's Library);321811909;9,78032E+12; Stephen G. Kochan;Addison-Wesley Professional;library, developer, objective, programming;600;26/12/2011;Paperback;49.99 USD
 Graphics Programming in C: A Comprehensive Resource for Every C Programmer : Covers Cga, Ega, and Vga Graphic Displays and Includes a Complete Toolb;1558510184;9,78156E+12; Roger T. Stevens;M & T Books;graphic, vga, displays, includes, toolb, complete, ega, cga, comprehensive, programming, resource, programmer, covers, graphics;639;1988-11;Paperback;26.95 USD
 Programming C#: Building .NET Applications with C#;596006993;9,7806E+12; Jesse Liberty;O\'Reilly Media;applications, net, building, programming;672;04/03/2005;Paperback;44.95 USD
 Sams Teach Yourself C++ in One Hour a Day (7th Edition);672335670;9,78067E+12; Siddhartha Rao;Sams Publishing;hour, day, one, yourself, teach, sams;768;20/05/2012;Paperback;44.99 USD
 C Traps and Pitfalls;201179288;9,7802E+12; Andrew Koenig;Addison-Wesley Professional;pitfalls, traps;160;11/01/1989;Paperback;39.99 USD
 C Programming for Scientists and Engineers (Manufacturing Engineering Series);1857180305;9,78186E+12; Robert L. Wood;Butterworth-Heinemann;engineering, series, manufacturing, engineers, scientists, programming;160;20/06/2002;Paperback;32.95 USD
 Programming 16-Bit PIC Microcontrollers in C, Second Edition: Learning to Fly the PIC 24;1856178706;9,78186E+12; Lucio Di Jasio;Newnes;pic, learning, second, microcontrollers, programming, bit;416;28/12/2011;Paperback;59.95 USD
 C Programming For Scientists And Engineers With Applications;763739529;9,78076E+12;Rama Reddy, Carol Ziegler;Jones & Bartlett Learning;applications, engineers, scientists, programming;838;17/08/2009;Paperback;182.95 USD
 The Clean Coder: A Code of Conduct for Professional Programmers (Robert C. Martin Series);137081073;9,78014E+12; Robert C. Martin;Prentice Hall;robert, martin, series, programmers, professional, coder, code, conduct, clean;256;23/05/2011;Paperback;44.99 USD
 C Programming for Beginners: Learn with Examples;150317591X;9,7815E+12; Mr. Sandy Paul;CreateSpace Independent Publishing Platform;examples, learn, beginners, programming;106;10/11/2014;Paperback;12.99 USD
 Agile Principles, Patterns, and Practices in C#;131857258;9,78013E+12;Robert C. Martin, Micah Martin;Prentice Hall;practices, patterns, principles, agile;768;30/07/2006;Hardcover;74.99 USD
 Beginning C# Object-Oriented Programming (Expert's Voice in .NET);1430249358;9,78143E+12; Dan Clark;Apress;voice, net, expert, programming, object, oriented, beginning;384;26/03/2013;Paperback;49.99 USD
 C Programming For the PC the MAC and the Arduino Microcontroller System;1491880503;9,78149E+12; Peter D. Minns;AuthorHouseUK;system, microcontroller, arduino, mac, programming;250;12/11/2013;Paperback;27.39 USD
 C Programming for Engineering and Computer Science (B.E.S.T. Series);79136788;9,78008E+12;H.H. Tan, Tim D\'Orazio;McGraw-Hill Science/Engineering/Math;series, science, computer, engineering, programming;600;17/09/1998;Paperback;57.94 USD
 C Programming for Midi;934375860;9,78093E+12; Jim Conger;M & T Books;midi, programming;219;1988-04;Paperback;22.95 USD
 Applied Cryptography: Protocols, Algorithms and Source Code in C;1119096723;9,78112E+12; Bruce Schneier;Wiley;source, code, algorithms, protocols, cryptography, applied;784;30/03/2015;Hardcover;70.00 USD
 Learning C# Programming with Unity 3D;1466586524;9,78147E+12; Alex Okita;A K Peters/CRC Press;unity, programming, learning;690;01/08/2014;Paperback;49.95 USD
